store_id,store_code,store_name,store_type,channel,status,is_franchise,region,state,city,address,postal_code,latitude,longitude,phone,email,opening_time,closing_time,floor_area_sqft,opening_date,created_at,updated_at
STORE000522,STR-00522,Mega Store,Distributor,E-Commerce,Active,True,West,Maharashtra,Mumbai,"72, MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,+91 7191966745,megastore@enterprisefmcg.com,10:00,22:00,1000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
STORE000738,STR-00738,Daily Mart,Supermarket,General Trade,Inactive,False,North,Delhi,New Delhi,"131, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 7214264423,dailymart@enterprisefmcg.com,09:00,22:00,1000,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000741,STR-00741,Fresh Store,Hypermarket,General Trade,Active,True,North,Uttar Pradesh,Kanpur,"235, MG Road, Kanpur, Uttar Pradesh",208001,26.4499,80.3319,+91 7554999472,freshstore@enterprisefmcg.com,08:00,21:00,500,2026-07-17,2026-07-17 14:27:09.504886,2026-07-17 14:27:09.504886
STORE000661,STR-00661,Value Foods,Distributor,Distributor,Active,False,South,Karnataka,Mysuru,"167, MG Road, Mysuru, Karnataka",570001,12.2958,76.6394,+91 7426110394,valuefoods@enterprisefmcg.com,10:00,20:00,5000,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000412,STR-00412,Royal Market,Convenience Store,Wholesale,Inactive,False,East,West Bengal,Kolkata,"116, MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,+91 9467297227,royalmarket@enterprisefmcg.com,08:00,21:00,5000,2026-07-17,2026-07-17 14:27:09.501692,2026-07-17 14:27:09.501692
STORE000679,STR-00679,Mega Store,Distributor,General Trade,Inactive,False,South,Karnataka,Mysuru,"96, MG Road, Mysuru, Karnataka",570001,12.2958,76.6394,+91 6748752142,megastore@enterprisefmcg.com,08:00,22:00,1500,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000627,STR-00627,Daily Retail,Hypermarket,Wholesale,Inactive,True,North,Delhi,New Delhi,"111, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 9586664394,dailyretail@enterprisefmcg.com,10:00,21:00,1500,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000514,STR-00514,Value Mart,Convenience Store,General Trade,Active,False,West,Gujarat,Surat,"180, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 9775709138,valuemart@enterprisefmcg.com,08:00,22:00,1000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
STORE000860,STR-00860,Metro Center,Convenience Store,General Trade,Active,False,North,Uttar Pradesh,Lucknow,"86, MG Road, Lucknow, Uttar Pradesh",226001,26.8467,80.9462,+91 6199292768,metrocenter@enterprisefmcg.com,09:00,21:00,1500,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000137,STR-00137,Daily Market,Distributor,Wholesale,Inactive,True,West,Maharashtra,Pune,"151, MG Road, Pune, Maharashtra",411001,18.5204,73.8567,+91 7362811195,dailymarket@enterprisefmcg.com,09:00,22:00,1500,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000812,STR-00812,Royal Foods,Distributor,Modern Trade,Inactive,False,North,Uttar Pradesh,Lucknow,"168, MG Road, Lucknow, Uttar Pradesh",226001,26.8467,80.9462,+91 6852026608,royalfoods@enterprisefmcg.com,09:00,21:00,10000,2026-07-17,2026-07-17 14:27:09.504886,2026-07-17 14:27:09.504886
STORE000077,STR-00077,Mega Market,Hypermarket,Wholesale,Active,True,South,Tamil Nadu,Salem,"111, MG Road, Salem, Tamil Nadu",636001,11.6643,78.146,+91 7029427590,megamarket@enterprisefmcg.com,08:00,20:00,1500,2026-07-17,2026-07-17 14:27:09.498265,2026-07-17 14:27:09.498265
STORE000637,STR-00637,Fresh Hyper,Supermarket,E-Commerce,Active,True,East,West Bengal,Siliguri,"11, MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,+91 8617697798,freshhyper@enterprisefmcg.com,10:00,20:00,1500,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000974,STR-00974,Mega Mart,Supermarket,E-Commerce,Active,True,South,Kerala,Kochi,"123, MG Road, Kochi, Kerala",682001,9.9312,76.2673,+91 7603996335,megamart@enterprisefmcg.com,08:00,21:00,2500,2026-07-17,2026-07-17 14:27:09.506959,2026-07-17 14:27:09.506959
STORE000939,STR-00939,City Mart,Online Fulfillment Center,E-Commerce,Active,True,West,Gujarat,Ahmedabad,"203, MG Road, Ahmedabad, Gujarat",380001,23.0225,72.5714,+91 9630301210,citymart@enterprisefmcg.com,09:00,20:00,10000,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000900,STR-00900,Family Hyper,Hypermarket,Wholesale,Active,False,West,Gujarat,Surat,"217, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 7284750262,familyhyper@enterprisefmcg.com,09:00,20:00,500,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000281,STR-00281,Mega Hyper,Hypermarket,Modern Trade,Inactive,True,South,Karnataka,Hubballi,"243, MG Road, Hubballi, Karnataka",580020,15.3647,75.124,+91 7183160660,megahyper@enterprisefmcg.com,09:00,20:00,10000,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000884,STR-00884,City Express,Convenience Store,E-Commerce,Inactive,False,East,Odisha,Bhubaneswar,"101, MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,+91 7019177614,cityexpress@enterprisefmcg.com,10:00,21:00,10000,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000762,STR-00762,Smart Retail,Retail Outlet,Distributor,Inactive,True,West,Gujarat,Vadodara,"54, MG Road, Vadodara, Gujarat",390001,22.3072,73.1812,+91 9415812153,smartretail@enterprisefmcg.com,09:00,21:00,1000,2026-07-17,2026-07-17 14:27:09.504886,2026-07-17 14:27:09.504886
STORE000320,STR-00320,Family Market,Convenience Store,Wholesale,Inactive,False,East,West Bengal,Siliguri,"225, MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,+91 7803360978,familymarket@enterprisefmcg.com,10:00,20:00,10000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000550,STR-00550,Metro Hyper,Convenience Store,Wholesale,Active,False,West,Gujarat,Surat,"197, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 8956270633,metrohyper@enterprisefmcg.com,09:00,20:00,1000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
STORE000175,STR-00175,Smart Retail,Convenience Store,Wholesale,Inactive,False,East,West Bengal,Siliguri,"137, MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,+91 7086213652,smartretail@enterprisefmcg.com,09:00,20:00,2500,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000372,STR-00372,Mega Express,Supermarket,Distributor,Inactive,False,West,Gujarat,Vadodara,"67, MG Road, Vadodara, Gujarat",390001,22.3072,73.1812,+91 8974566346,megaexpress@enterprisefmcg.com,08:00,20:00,1000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000528,STR-00528,Smart Market,Supermarket,Modern Trade,Active,False,West,Maharashtra,Pune,"224, MG Road, Pune, Maharashtra",411001,18.5204,73.8567,+91 6270655299,smartmarket@enterprisefmcg.com,10:00,22:00,5000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
STORE000211,STR-00211,Royal Store,Online Fulfillment Center,Distributor,Active,False,West,Maharashtra,Mumbai,"214, MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,+91 6827457599,royalstore@enterprisefmcg.com,08:00,22:00,500,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000236,STR-00236,City Express,Hypermarket,Wholesale,Inactive,False,North,Delhi,New Delhi,"44, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 6425209482,cityexpress@enterprisefmcg.com,08:00,22:00,10000,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000102,STR-00102,Metro Retail,Convenience Store,E-Commerce,Active,True,South,Tamil Nadu,Salem,"55, MG Road, Salem, Tamil Nadu",636001,11.6643,78.146,+91 6003742313,metroretail@enterprisefmcg.com,08:00,22:00,500,2026-07-17,2026-07-17 14:27:09.498265,2026-07-17 14:27:09.498265
STORE000987,STR-00987,Mega Retail,Convenience Store,General Trade,Active,True,North,Delhi,New Delhi,"47, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 8543577623,megaretail@enterprisefmcg.com,10:00,21:00,500,2026-07-17,2026-07-17 14:27:09.506959,2026-07-17 14:27:09.506959
STORE000903,STR-00903,Mega Mart,Wholesale Depot,General Trade,Active,True,South,Tamil Nadu,Madurai,"5, MG Road, Madurai, Tamil Nadu",625001,9.9252,78.1198,+91 7308768441,megamart@enterprisefmcg.com,08:00,22:00,2500,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000948,STR-00948,Metro Store,Online Fulfillment Center,General Trade,Inactive,False,North,Delhi,New Delhi,"77, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 9778634318,metrostore@enterprisefmcg.com,08:00,20:00,1000,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000347,STR-00347,Daily Center,Online Fulfillment Center,General Trade,Active,True,North,Delhi,New Delhi,"121, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 9848274118,dailycenter@enterprisefmcg.com,10:00,20:00,5000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000140,STR-00140,Value Retail,Online Fulfillment Center,Modern Trade,Active,True,South,Tamil Nadu,Coimbatore,"34, MG Road, Coimbatore, Tamil Nadu",641001,11.0168,76.9558,+91 6980546829,valueretail@enterprisefmcg.com,08:00,22:00,1000,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000622,STR-00622,Fresh Foods,Online Fulfillment Center,E-Commerce,Active,False,West,Gujarat,Surat,"212, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 8983667558,freshfoods@enterprisefmcg.com,10:00,20:00,1000,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000500,STR-00500,Royal Foods,Convenience Store,Modern Trade,Inactive,True,East,West Bengal,Kolkata,"67, MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,+91 7028016177,royalfoods@enterprisefmcg.com,09:00,21:00,500,2026-07-17,2026-07-17 14:27:09.501692,2026-07-17 14:27:09.501692
STORE000371,STR-00371,Daily Mart,Distributor,General Trade,Inactive,True,West,Maharashtra,Mumbai,"143, MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,+91 8229827071,dailymart@enterprisefmcg.com,09:00,22:00,10000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000199,STR-00199,City Store,Distributor,Distributor,Active,False,East,West Bengal,Kolkata,"15, MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,+91 9868867452,citystore@enterprisefmcg.com,10:00,20:00,10000,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000688,STR-00688,Fresh Retail,Online Fulfillment Center,Wholesale,Inactive,False,North,Uttar Pradesh,Kanpur,"36, MG Road, Kanpur, Uttar Pradesh",208001,26.4499,80.3319,+91 7665193578,freshretail@enterprisefmcg.com,09:00,22:00,500,2026-07-17,2026-07-17 14:27:09.503761,2026-07-17 14:27:09.503761
STORE000585,STR-00585,Value Hyper,Wholesale Depot,E-Commerce,Active,True,West,Gujarat,Vadodara,"9, MG Road, Vadodara, Gujarat",390001,22.3072,73.1812,+91 6891269708,valuehyper@enterprisefmcg.com,09:00,22:00,5000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
STORE000902,STR-00902,Prime Foods,Supermarket,General Trade,Active,True,North,Delhi,New Delhi,"245, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 6605977674,primefoods@enterprisefmcg.com,08:00,21:00,1000,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000060,STR-00060,Prime Retail,Hypermarket,General Trade,Inactive,True,North,Delhi,New Delhi,"128, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 8639155763,primeretail@enterprisefmcg.com,08:00,22:00,500,2026-07-17,2026-07-17 14:27:09.498265,2026-07-17 14:27:09.498265
STORE000329,STR-00329,Smart Bazaar,Hypermarket,Wholesale,Active,True,West,Gujarat,Surat,"119, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 7926861673,smartbazaar@enterprisefmcg.com,10:00,20:00,10000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000097,STR-00097,Fresh Express,Distributor,General Trade,Inactive,True,East,Odisha,Bhubaneswar,"214, MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,+91 7403191396,freshexpress@enterprisefmcg.com,10:00,22:00,5000,2026-07-17,2026-07-17 14:27:09.498265,2026-07-17 14:27:09.498265
STORE000313,STR-00313,Metro Hyper,Supermarket,Distributor,Inactive,False,South,Karnataka,Bengaluru,"128, MG Road, Bengaluru, Karnataka",560001,12.9716,77.5946,+91 8753765104,metrohyper@enterprisefmcg.com,08:00,22:00,5000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000975,STR-00975,Metro Express,Supermarket,General Trade,Active,False,West,Gujarat,Surat,"125, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 6899081237,metroexpress@enterprisefmcg.com,08:00,22:00,10000,2026-07-17,2026-07-17 14:27:09.506959,2026-07-17 14:27:09.506959
STORE000300,STR-00300,Smart Store,Distributor,Modern Trade,Inactive,True,East,West Bengal,Siliguri,"93, MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,+91 8586731244,smartstore@enterprisefmcg.com,08:00,20:00,1000,2026-07-17,2026-07-17 14:27:09.500687,2026-07-17 14:27:09.500687
STORE000278,STR-00278,Daily Retail,Hypermarket,General Trade,Inactive,True,North,Delhi,New Delhi,"89, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 8416033934,dailyretail@enterprisefmcg.com,10:00,21:00,1000,2026-07-17,2026-07-17 14:27:09.499273,2026-07-17 14:27:09.499273
STORE000925,STR-00925,City Express,Wholesale Depot,General Trade,Active,True,North,Delhi,New Delhi,"82, MG Road, New Delhi, Delhi",110001,28.6139,77.209,+91 7657827174,cityexpress@enterprisefmcg.com,08:00,22:00,1000,2026-07-17,2026-07-17 14:27:09.505887,2026-07-17 14:27:09.505887
STORE000602,STR-00602,Prime Center,Retail Outlet,Modern Trade,Active,True,West,Gujarat,Surat,"52, MG Road, Surat, Gujarat",395003,21.1702,72.8311,+91 9111433452,primecenter@enterprisefmcg.com,09:00,21:00,1000,2026-07-17,2026-07-17 14:27:09.502695,2026-07-17 14:27:09.502695
