supplier_id,supplier_code,supplier_name,supplier_type,contact_person,email,phone,region,state,city,address,postal_code,latitude,longitude,gst_number,pan_number,payment_terms,lead_time_days,currency,supplier_rating,preferred_supplier,status,created_at,updated_at
SUP000362,SUP-00362,Crystal Corporation,Packaging Supplier,Zaid Savant,crystalcorporation@supplier.com,+91 7549684456,West,Maharashtra,Pune,"411001 Pune, Maharashtra",411001,18.5204,73.8567,28WCEJS0762U1Z5,RRJWC3462I,60 Days,8,EUR,3.6,True,Active,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000074,SUP-00074,Global Trading,Local Vendor,Kai Doshi,globaltrading@supplier.com,+91 8659588252,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,27RMDEL0227P1Z5,HYXIW0329L,30 Days,8,INR,4.5,True,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000375,SUP-00375,Elite Corporation,Packaging Supplier,Ekbal Bahri,elitecorporation@supplier.com,+91 8997794720,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,24VPTDF4216L1Z5,IVLVT1445J,90 Days,16,INR,3.7,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000156,SUP-00156,Global Chemicals,Raw Material Supplier,Chaman Konda,globalchemicals@supplier.com,+91 6521345964,South,Tamil Nadu,Trichy,"620001 Trichy, Tamil Nadu",620001,10.7905,78.7047,35WRTKZ8950D1Z5,GQZFK9304X,Advance,12,INR,4.3,True,Inactive,2026-07-20 14:23:02.114981,2026-07-20 14:23:02.114981
SUP000105,SUP-00105,Metro Chemicals,Import Supplier,Jeevika Saha,metrochemicals@supplier.com,+91 8922288471,West,Gujarat,Ahmedabad,"380001 Ahmedabad, Gujarat",380001,23.0225,72.5714,13IABNZ0229D1Z5,EXAFA2292K,45 Days,10,INR,4.5,False,Active,2026-07-20 14:23:02.113978,2026-07-20 14:23:02.113978
SUP000395,SUP-00395,National Manufacturing,Contract Manufacturer,Faras Krishnan,nationalmanufacturing@supplier.com,+91 6405818135,South,Tamil Nadu,Madurai,"625001 Madurai, Tamil Nadu",625001,9.9252,78.1198,24VRPDM1837B1Z5,LXKAN8887Q,60 Days,15,INR,4.3,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000378,SUP-00378,Prime Trading,Contract Manufacturer,Bhavani Chatterjee,primetrading@supplier.com,+91 8571631124,South,Karnataka,Bengaluru,"560001 Bengaluru, Karnataka",560001,12.9716,77.5946,25DZIYI2954G1Z5,CFLYK8720U,90 Days,21,EUR,4.8,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000125,SUP-00125,ABC Manufacturing,Import Supplier,Wriddhish Sama,abcmanufacturing@supplier.com,+91 8423321413,South,Kerala,Kochi,"682001 Kochi, Kerala",682001,9.9312,76.2673,25BAWLF8619E1Z5,CVGAN0743I,90 Days,12,EUR,3.5,True,Inactive,2026-07-20 14:23:02.113978,2026-07-20 14:23:02.113978
SUP000069,SUP-00069,Value Foods,Contract Manufacturer,Ayush Mani,valuefoods@supplier.com,+91 7201786158,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,35SKLAB8382M1Z5,AHSAC5213T,45 Days,9,USD,4.8,False,Inactive,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000451,SUP-00451,Elite Industries,Contract Manufacturer,Jeevika Shenoy,eliteindustries@supplier.com,+91 8484259169,South,Tamil Nadu,Madurai,"625001 Madurai, Tamil Nadu",625001,9.9252,78.1198,06YQIJO9437B1Z5,GNAHR9220H,15 Days,10,INR,3.1,True,Inactive,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
