warehouse_id,warehouse_code,warehouse_name,warehouse_type,region,state,city,address,postal_code,latitude,longitude,manager_name,email,phone,storage_capacity_mt,current_utilization_percent,temperature_zone,operating_hours,status,created_at,updated_at
WH000084,WH-0084,East Storage,Finished Goods Warehouse,South,Karnataka,Bengaluru,"560001 MG Road, Bengaluru, Karnataka",560001,12.9716,77.5946,Yatin Bora,eaststorage@enterprisefmcg.com,+91 8048163795,5000,66,Frozen,24x7,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000054,WH-0054,Elite Distribution Center,Cold Storage,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Bimala Sethi,elitedistributioncenter@enterprisefmcg.com,+91 8779628000,2500,62,Ambient,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000071,WH-0071,West Storage,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Faris Bandi,weststorage@enterprisefmcg.com,+91 8082380709,1000,60,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000046,WH-0046,Central Storage,Central Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Ishaan Din,centralstorage@enterprisefmcg.com,+91 8716477579,15000,52,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000045,WH-0045,North Warehouse,Central Warehouse,East,West Bengal,Kolkata,"700001 MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,Idika Lalla,northwarehouse@enterprisefmcg.com,+91 9734686898,15000,78,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000040,WH-0040,Central Depot,Raw Material Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Rushil Balay,centraldepot@enterprisefmcg.com,+91 9245976184,10000,88,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000023,WH-0023,East Warehouse,Finished Goods Warehouse,West,Gujarat,Ahmedabad,"380001 MG Road, Ahmedabad, Gujarat",380001,23.0225,72.5714,Tanay Kalita,eastwarehouse@enterprisefmcg.com,+91 6145838673,10000,77,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000081,WH-0081,West Warehouse,Central Warehouse,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Mugdha Loyal,westwarehouse@enterprisefmcg.com,+91 7838585669,2500,85,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000011,WH-0011,Prime Warehouse,Central Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Varsha Garg,primewarehouse@enterprisefmcg.com,+91 9873770177,15000,84,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000001,WH-0001,East Depot,Finished Goods Warehouse,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,Yachana Bhalla,eastdepot@enterprisefmcg.com,+91 6319320454,50000,58,Frozen,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000019,WH-0019,Elite Hub,Finished Goods Warehouse,North,Uttar Pradesh,Noida,"201301 MG Road, Noida, Uttar Pradesh",201301,28.5355,77.391,Girindra Ganesh,elitehub@enterprisefmcg.com,+91 8379317577,10000,67,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000031,WH-0031,Central Storage,Finished Goods Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Jagat Tella,centralstorage@enterprisefmcg.com,+91 9648938646,5000,48,Frozen,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000074,WH-0074,South Hub,Finished Goods Warehouse,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,Omisha Gaba,southhub@enterprisefmcg.com,+91 7187361595,25000,71,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000034,WH-0034,West Storage,Raw Material Warehouse,West,Gujarat,Ahmedabad,"380001 MG Road, Ahmedabad, Gujarat",380001,23.0225,72.5714,Alka Khosla,weststorage@enterprisefmcg.com,+91 6736723806,5000,80,Frozen,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000091,WH-0091,Elite Warehouse,Finished Goods Warehouse,South,Tamil Nadu,Chennai,"600001 MG Road, Chennai, Tamil Nadu",600001,13.0827,80.2707,Baghyawati Yadav,elitewarehouse@enterprisefmcg.com,+91 6843871561,5000,59,Ambient,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000005,WH-0005,Prime Distribution Center,Finished Goods Warehouse,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Wazir Iyengar,primedistributioncenter@enterprisefmcg.com,+91 6663377446,2500,40,Frozen,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000077,WH-0077,Prime Warehouse,Raw Material Warehouse,East,West Bengal,Kolkata,"700001 MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,Zayan Guha,primewarehouse@enterprisefmcg.com,+91 6545553230,15000,56,Chilled,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000078,WH-0078,Prime Warehouse,Raw Material Warehouse,South,Kerala,Thiruvananthapuram,"695001 MG Road, Thiruvananthapuram, Kerala",695001,8.5241,76.9366,Vritti Chand,primewarehouse@enterprisefmcg.com,+91 9464525052,5000,55,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
