product_id,sku,product_name,brand,category,subcategory,package_size,uom,cost_price,selling_price,margin_percent,gst_percent,shelf_life_months,status
PROD001502,SKU001502,PrimeFoods Milk 750L,PrimeFoods,Dairy,Milk,750,L,378.43,473.61,25.15,5,24,Active
PROD002587,SKU002587,FreshLife Floor Cleaner 1000kg,FreshLife,Household,Floor Cleaner,1000,kg,227.53,275.9,21.26,12,18,Active
PROD002654,SKU002654,HealthyHome Coffee 200ml,HealthyHome,Beverages,Coffee,200,ml,37.21,47.53,27.74,5,18,Active
PROD001056,SKU001056,NutriPlus Cookies 1000ml,NutriPlus,Snacks,Cookies,1000,ml,112.28,153.37,36.6,18,24,Active
PROD000706,SKU000706,NatureFresh Juice 250L,NatureFresh,Beverages,Juice,250,L,89.37,105.99,18.6,12,12,Active
PROD000107,SKU000107,NatureFresh Curd 250L,NatureFresh,Dairy,Curd,250,L,489.86,627.85,28.17,12,12,Active
PROD000590,SKU000590,FreshLife Namkeen 1000g,FreshLife,Snacks,Namkeen,1000,g,192.11,232.93,21.25,12,6,Active
PROD002469,SKU002469,GoldenFarm Biscuits 200L,GoldenFarm,Snacks,Biscuits,200,L,264.14,313.45,18.67,12,24,Active
PROD002414,SKU002414,PureHarvest Juice 500L,PureHarvest,Beverages,Juice,500,L,434.35,526.35,21.18,18,24,Active
PROD001601,SKU001601,DailyChoice Biscuits 500kg,DailyChoice,Snacks,Biscuits,500,kg,448.51,627.33,39.87,12,12,Active
PROD002465,SKU002465,FreshLife Shampoo 250g,FreshLife,Personal Care,Shampoo,250,g,199.47,229.77,15.19,18,6,Active
PROD000229,SKU000229,FreshLife Face Wash 50pcs,FreshLife,Personal Care,Face Wash,50,pcs,137.32,192.47,40.16,12,18,Active
PROD000916,SKU000916,HealthyHome Dishwash 100pcs,HealthyHome,Household,Dishwash,100,pcs,103.11,145.27,40.89,12,18,Active
PROD000795,SKU000795,PureHarvest Curd 50g,PureHarvest,Dairy,Curd,50,g,32.78,44.96,37.17,12,18,Active
PROD003022,SKU003022,NatureFresh Shampoo 50ml,NatureFresh,Personal Care,Shampoo,50,ml,170.29,221.67,30.17,12,24,Active
PROD003544,SKU003544,PureHarvest Tea 250pcs,PureHarvest,Beverages,Tea,250,pcs,345.71,422.98,22.35,18,12,Active
PROD001074,SKU001074,PureHarvest Tea 50kg,PureHarvest,Beverages,Tea,50,kg,173.43,203.71,17.46,5,24,Active
PROD003352,SKU003352,PureHarvest Namkeen 250ml,PureHarvest,Snacks,Namkeen,250,ml,251.77,356.83,41.73,5,6,Active
PROD001745,SKU001745,NutriPlus Air Freshener 1000kg,NutriPlus,Household,Air Freshener,1000,kg,384.08,485.32,26.36,5,24,Active
PROD001085,SKU001085,FreshLife Soft Drinks 50g,FreshLife,Beverages,Soft Drinks,50,g,54.9,75.32,37.19,5,6,Active
PROD000927,SKU000927,DailyChoice Detergent 750pcs,DailyChoice,Household,Detergent,750,pcs,328.47,453.65,38.11,18,18,Active
PROD003050,SKU003050,PrimeFoods Coffee 200g,PrimeFoods,Beverages,Coffee,200,g,402.13,522.93,30.04,5,24,Active
PROD001118,SKU001118,DailyChoice Biscuits 750g,DailyChoice,Snacks,Biscuits,750,g,462.06,557.06,20.56,18,12,Active
PROD000643,SKU000643,NatureFresh Milk 1000L,NatureFresh,Dairy,Milk,1000,L,348.6,420.52,20.63,18,6,Active
PROD004768,SKU004768,NutriPlus Cookies 1000pcs,NutriPlus,Snacks,Cookies,1000,pcs,377.7,452.45,19.79,5,6,Active
PROD000502,SKU000502,GoldenFarm Coffee 200L,GoldenFarm,Beverages,Coffee,200,L,267.86,326.76,21.99,5,12,Active
PROD004067,SKU004067,PureHarvest Tea 1000g,PureHarvest,Beverages,Tea,1000,g,166.48,218.04,30.97,12,6,Active
PROD000334,SKU000334,PrimeFoods Tea 200ml,PrimeFoods,Beverages,Tea,200,ml,136.38,183.7,34.7,18,6,Active
PROD004685,SKU004685,PrimeFoods Cheese 50L,PrimeFoods,Dairy,Cheese,50,L,146.76,177.99,21.28,18,18,Active
PROD000487,SKU000487,PureHarvest Soap 1000kg,PureHarvest,Personal Care,Soap,1000,kg,446.2,589.3,32.07,5,12,Active
PROD001963,SKU001963,PrimeFoods Shampoo 50kg,PrimeFoods,Personal Care,Shampoo,50,kg,291.9,376.64,29.03,18,24,Active
PROD000394,SKU000394,PureHarvest Floor Cleaner 250L,PureHarvest,Household,Floor Cleaner,250,L,199.04,267.45,34.37,5,24,Active
PROD004843,SKU004843,FreshLife Floor Cleaner 500ml,FreshLife,Household,Floor Cleaner,500,ml,463.11,540.96,16.81,5,24,Active
PROD004867,SKU004867,PureHarvest Juice 200L,PureHarvest,Beverages,Juice,200,L,32.46,44.51,37.12,18,24,Active
PROD001756,SKU001756,HealthyHome Juice 200ml,HealthyHome,Beverages,Juice,200,ml,72.53,91.74,26.48,5,18,Active
PROD002516,SKU002516,FreshLife Detergent 100L,FreshLife,Household,Detergent,100,L,331.54,406.53,22.62,12,6,Active
PROD003586,SKU003586,PrimeFoods Milk 750kg,PrimeFoods,Dairy,Milk,750,kg,317.47,410.9,29.43,18,12,Active
PROD004316,SKU004316,DailyChoice Dishwash 100ml,DailyChoice,Household,Dishwash,100,ml,479.74,671.01,39.87,12,24,Active
PROD004967,SKU004967,NutriPlus Curd 500kg,NutriPlus,Dairy,Curd,500,kg,246.83,341.71,38.44,18,6,Active
PROD002100,SKU002100,HealthyHome Floor Cleaner 500pcs,HealthyHome,Household,Floor Cleaner,500,pcs,69.78,97.78,40.12,5,12,Active
PROD003600,SKU003600,PrimeFoods Namkeen 500kg,PrimeFoods,Snacks,Namkeen,500,kg,324.67,466.97,43.83,12,18,Active
PROD004122,SKU004122,NatureFresh Coffee 100g,NatureFresh,Beverages,Coffee,100,g,113.56,146.39,28.91,18,24,Active
PROD000030,SKU000030,NutriPlus Curd 50g,NutriPlus,Dairy,Curd,50,g,430.06,581.57,35.23,18,24,Active
PROD000066,SKU000066,HealthyHome Curd 100pcs,HealthyHome,Dairy,Curd,100,pcs,229.26,273.09,19.12,12,24,Active
PROD000839,SKU000839,NatureFresh Soap 1000L,NatureFresh,Personal Care,Soap,1000,L,476.05,687.51,44.42,18,6,Active
PROD003907,SKU003907,GoldenFarm Detergent 1000pcs,GoldenFarm,Household,Detergent,1000,pcs,480.75,681.7,41.8,12,6,Active
PROD003774,SKU003774,PrimeFoods Biscuits 100ml,PrimeFoods,Snacks,Biscuits,100,ml,125.29,153.07,22.17,5,18,Active
PROD004636,SKU004636,PureHarvest Shampoo 200L,PureHarvest,Personal Care,Shampoo,200,L,439.37,554.79,26.27,18,12,Active
PROD003162,SKU003162,NatureFresh Cookies 500L,NatureFresh,Snacks,Cookies,500,L,72.96,103.9,42.41,5,18,Active
PROD002660,SKU002660,PureHarvest Coffee 500L,PureHarvest,Beverages,Coffee,500,L,427.56,592.68,38.62,5,12,Active
PROD004616,SKU004616,GoldenFarm Curd 200kg,GoldenFarm,Dairy,Curd,200,kg,253.52,358.71,41.49,12,12,Active
